[12:21] 各位线上的朋友大家午安
[01:02:38] 所以其实是一个
[01:02:39] 良性的扩散
[01:02:40] 是一个良性的扩散
[01:02:41] 所以这一波产品反而是
[01:02:42] 会让AI的整个导入
[01:02:44] 应用扩散
[01:02:45] 因为他本来是开发产品
[01:02:47] 你最懂这个吗
[01:02:48] 你到企业去协助人家导入
[01:02:49] 也会比较知道
[01:02:51] 其实被裁员的这一些人
[01:02:52] 刚好是
[01:02:53] 他的组织原来是
[01:02:54] 最懂AI
[01:02:55] 最懂使用AI
[01:02:56] 所以他带着部分的经验
[01:02:58] 他就去扩散去
[01:02:59] 所以从乙方到甲方
[01:03:00] 这是一个市场的
[01:03:02] 自然发展的现象
[01:03:03] 那台湾要担心的地方
[01:03:05] 就是我们没有那么多
[01:03:06] 开发AI应用
[01:03:07] 跟AI基础工具的公司
[01:03:10] 所以我们的乙方人才很少
[01:03:13] 那我们的甲方呢
[01:03:15] 他已经感受到
[01:03:16] 来自美国的这种工具的威力
[01:03:18] 但是在组织上
[01:03:20] 他找不到超级使用者
[01:03:23] 或者超级AI人才来带动他
[01:03:25] 那这种时候
[01:03:26] 就是我们等一下
[01:03:27] 可以多聊一下
[01:03:28] 就是组织怎么去改造他了
[01:03:31] 对 因为超级使用者
[01:03:32] 我记得我们
[01:03:33] 更早之前跟丽方老师有聊
[01:03:35] 就是像Anthropic这个
[01:03:36] 创办人跟CEO
[01:03:37] 就是Daria Amode
[01:03:39] 就是你那时候提到说
[01:03:40] 他一天用7个
[01:03:41] 7个AI
[01:03:42] 也许可能又有新增
[01:03:44] 或许他只开一个
[01:03:46] 去管理那7个
[01:03:47] 对 所以就是说
[01:03:48] 他其实本身
[01:03:49] 虽然也是乙方
[01:03:50] 但是他也是一个公司的经营者
[01:03:53] 那特别是
[01:03:55] 现在很多AI工具
[01:03:56] 或者这些AI代理的
[01:03:57] 这个开发的公司
[01:03:59] 也很清楚就是说
[01:03:59] 他的对象必须是企业
[01:04:01] 才能付钱
[01:04:02] 因为过去两年前
[01:04:02] 我们在谈那个生产力工具
[01:04:04] 很多真的一般工作者
[01:04:05] 可能一个月收20块美金
[01:04:07] 这件事情
[01:04:07] 大概是一开始滚量
[01:04:09] 但是你后面真的要产生一个
[01:04:11] 比较可持续的一个大的一个收入
[01:04:13] 还在从企业这边下手
[01:04:14] 没错
[01:04:15] 那所以刚刚也谈到
[01:04:16] 所以说订阅制
[01:04:17] 个人订阅制的这个营收
[01:04:19] 是不太够的
[01:04:19] 不太够
[01:04:20] 对 因为那个一个人20美金
[01:04:22] 你要乘以几百万几千万的人
[01:04:24] 还是比较慢
[01:04:25] 但是一家企业可以就是一年花
[01:04:27] 可能几十万美金
[01:04:29] 对
[01:04:29] 上百万美金
[01:04:30] 那就差距很大
[01:04:31] 那特别是说
[01:04:32] 我们现在在谈的这个AI代理里面
[01:04:34] 跟丽芳老师也特别提到说
[01:04:36] 所谓的企业代理
[01:04:37] 是
[01:04:37] 还是这个AI代理里面
[01:04:39] 现在更核心
[01:04:41] 更关键的一块
[01:04:42] 是
[01:04:42] 那这个就牵涉到
[01:04:43] 就是说
[01:04:44] 所谓的企业决策者或者老板
[01:04:46] 跟这件事绑定的关系
[01:04:48] 就更高了
[01:04:49] 因为他就不是那个
[01:04:50] 所谓的基层工作者
[01:04:51] 这件事情
[01:04:52] 所以我们在基层工作者
[01:04:54] 以前有谈过
[01:04:55] 所谓的reskill
[01:04:56] upskill这件事情
[01:04:57] 因为希望他不是一个
[01:04:58] 被replacement
[01:04:59] 是可以做displacement
[01:05:01] 但到了决策者这边
[01:05:03] 在思考这件事情
[01:05:04] 因为现在既然已经进到
[01:05:05] 所谓的企业代理
[01:05:06] 企业代理
[01:05:07] 就老板不太可能
[01:05:07] 就是说底下员工
[01:05:08] 大家都去用
[01:05:09] 我自己在旁边看
[01:05:10] 已经不可能了
[01:05:11] 因为现在这个发展
[01:05:13] 有一点是说
[01:05:14] 我们大概过去三年
[01:05:15] 谈的比较多是员工赋能
[01:05:17] 那如果我们今天讲
[01:05:19] 有一个是组织赋能
[01:05:20] 一个是员工赋能
[01:05:22] 那我们都先想说
[01:05:23] 员工赋能之后
[01:05:24] 让组织能够赋能
[01:05:26] 可是员工的动机
[01:05:27] 跟组织的动机
[01:05:28] 是不一样的
[01:05:29] 员工的动机呢
[01:05:30] 是老实说
[01:05:32] 想把工作早点完成
[01:05:33] 做得不差
[01:05:34] 所以我常常讲说
[01:05:36] 员工的动机是80分
[01:05:37] 他不会是老板动机的120分
[01:05:40] 所以组织赋能的逻辑
[01:05:42] 就是让这个组织呢
[01:05:43] 来到100分至少
[01:05:45] 那120分就是组织
[01:05:46] 做到原来做不到的事情
[01:05:48] 但是如果是由员工
[01:05:49] 自发性的推动
[01:05:50] 是真的很难达到
[01:05:52] 这个老板要的目标
[01:05:54] 可是如果老板自己不会
[01:05:56] 甚至自己感受不到
[01:05:57] AI的威力跟威胁的话
[01:05:59] 那么老板觉得员工进步了
[01:06:02] 就是组织进步了
[01:06:04] 这事实上是两回事的
[01:06:06] 但是老板这些一定会感受到
[01:06:09] 为什么
[01:06:09] 因为他同业
[01:06:11] 他可能开始用企业代理的
[01:06:13] AI的代理
[01:06:14] 我常常还是觉得
[01:06:16] procurement采购影响最大
[01:06:18] 因为我前几天
[01:06:20] 就是中部一场互动演讲
[01:06:22] 跟当地的产业在互动
[01:06:24] 他现在最怕是
[01:06:26] AI在所谓的B2B采购的时候
[01:06:29] 我的零组件供应商
[01:06:31] 不在AI的采购推荐名单里
[01:06:34] 你就永远没办法被买到
[01:06:36] 而且你的销售流程比人家差
[01:06:40] 人家按一按键
[01:06:42] 就可以shipping
[01:06:44] 就可以结账
[01:06:45] 就可以入账
[01:06:46] 那你整个都没有在
[01:06:48] 他这一个生产链里头
[01:06:50] 你看那个危险性有多大
[01:06:51] 这基本上就是灭顶之灾了
[01:06:53] 灭顶之灾
[01:06:53] 所以我刚刚是说
[01:06:55] 制造业好像没问题
[01:06:57] 可是如果你从
[01:06:58] 制造业未来的产业销流程里头
[01:07:01] 是有大问题了
[01:07:03] 那B2B采购这个
[01:07:05] 对绝大多数企业来讲
[01:07:07] 这都是他的命脉
[01:07:08] 对对对
[01:07:08] 因为你一旦不在那个名单上面
[01:07:10] 你基本上就是订单就断绝了
[01:07:12] 对对对
[01:07:13] 所以要想办法
[01:07:13] 要让自己能够达到这个
[01:07:15] 应该称为叫所谓AI的
[01:07:17] 这个compliance
[01:07:18] 或者AI capable
[01:07:19] 对对对
[01:07:19] 至少你要在那个名单上
[01:07:21] 能够出现
[01:07:22] 被这些agent能够找到
[01:07:23] 他等于是说
[01:07:24] 你必须出现在
[01:07:25] agentic commerce里头
[01:07:26] 你才能够
[01:07:27] 在人家percurement里头
[01:07:28] 所以所有现在都多了一个
[01:07:30] agentic
[01:07:31] agentic engineering
[01:07:32] 你能够让你的工程团队
[01:07:35] 更能够AI代理化
[01:07:37] 那另外一个
[01:07:38] 你的销售行为
[01:07:41] 他要agentic的话
[01:07:42] 那最终组织
[01:07:43] 就agentic enterprise
[01:07:44] 企业变成是代理型企业
[01:07:47] agentic price
[01:07:49] 这里面会有agentic commerce
[01:07:50] 会有agentic procurement
[01:07:51] 那当然这一块的
[01:07:54] 就是说
[01:07:54] 跟agentic的commerce有关的
[01:07:57] 就是除了B2B之外
[01:07:58] 其实B2C这一块
[01:07:59] 现在其实也很关注
[01:08:00] 对他就所谓的AI shopping
[01:08:02] 我可以这样讲
[01:08:04] 去年的耶诞节
[01:08:05] 或美国sandsgiving
[01:08:06] 我们已经给他一个名词
[01:08:08] 比较是AI recommendation
[01:08:09] 就是透过AI的推荐
[01:08:12] 完成的采购
[01:08:13] 大概20%
[01:08:15] 但他不是所谓的人跟机器去买
[01:08:17] 是机器推荐给你
[01:08:19] 之后你决定要买
[01:08:21] 但未来呢
[01:08:22] 他们预估到今年的Christmas
[01:08:24] 可能是20%
[01:08:26] 是机器帮你决定
[01:08:28] 之后去跟机器买
[01:08:29] 他新的阶段
[01:08:30] 他就更像agentic commerce
[01:08:33] 所以是从AI shopping变成是
[01:08:36] AI recommendation
[01:08:38] 变成是AI的procurement
[01:08:41] 他可能今年就来到这个阶段
[01:08:43] 那这个就是等于是B2C的新的商模
[01:08:46] 那这个我们说担心AI泡沫
[01:08:49] 在应用端没有收入
[01:08:51] 用订阅制看起来还是有限
[01:08:53] 但是如果在agentic commerce起来
[01:08:56] 他带动连广告全部改变
[01:08:59] 当AI是帮你在做采购
[01:09:02] 帮你做所谓的shopping的时候
[01:09:05] 你另外一个角度呢
[01:09:07] 那广告做给谁看
[01:09:08] 广告是做给人看
[01:09:10] 还是给AI看
[01:09:11] 当然是给AI看的嘛
[01:09:12] 对不对
[01:09:13] 所以刚刚之前有提到说
[01:09:15] 我们internet有三个阶段
[01:09:17] 我们来到AI internet
[01:09:18] 可是在internet里头
[01:09:20] 过去出现一个web
[01:09:21] 那web未来还会不会在
[01:09:23] 那那个在的那个web
[01:09:25] 到底是给机器看
[01:09:26] 还是给人看
[01:09:27] 我们现在可以开始观察了
[01:09:29] 所以应该以后也会提供
[01:09:31] 给AI看的browser
[01:09:32] 对
[01:09:32] 而且还有AI自己的social media
[01:09:35] 对
[01:09:35] 现在已经开始有了
[01:09:38] 现在已经有
[01:09:38] 那回到就是百分之一的工作的
[01:09:41] 这件事情
[01:09:41] 就是说他必然是
[01:09:42] 除了很懂这些工具的使用
[01:09:44] 会提问
[01:09:45] 然后知道只能去monitor
[01:09:47] 那个结果之外
[01:09:48] 他一定会是个大量
[01:09:49] 算力的消耗者
[01:09:51] 就是一个super token user
[01:09:53] 的概念
[01:09:53] 那之前黄文轩也提到说
[01:09:55] 大概一个可能合格的
[01:09:57] 一个技术人员
[01:09:58] 可能一年是
[01:09:59] 大概至少用到45万
[01:10:00] 美金等值的token
[01:10:02] 这件事情
[01:10:02] 当然这个标准是蛮高的
[01:10:04] 回到台湾来讲
[01:10:05] 就是如果我们在台湾这边
[01:10:06] 百分之一
[01:10:07] 或者我们条件上
[01:10:09] 放宽是百分之十的工作者
[01:10:10] 可能他的那个
[01:10:11] 使用token的量
[01:10:12] 以目前的这个
[01:10:13] 我们台湾的环境
[01:10:15] 跟企业提供的
[01:10:16] 应该离这个距离是
[01:10:18] 我们以后就有一个
[01:10:19] GDP排名
[01:10:20] 之后有一个
[01:10:21] per employee的token排名
[01:10:24] 我们看两个
[01:10:26] 有没有align在一起
[01:10:27] 那这有点像
[01:10:28] 我们在GDP
[01:10:29] 有明目GDP
[01:10:30] 跟所谓的
[01:10:31] 这个PPP
[01:10:32] 实质购买力
[01:10:33] 对不对
[01:10:34] 这就反映说
[01:10:35] 我的
[01:10:35] 我的这个汇率的现象
[01:10:37] 那组织也一样
[01:10:39] 就是说
[01:10:39] 我现在营收
[01:10:40] 看起来很不错
[01:10:41] 可是如果我员工
[01:10:42] 都不用token
[01:10:43] 我会不会明天后天
[01:10:45] 竞争力还很强
[01:10:46] 这可能就不见得
[01:10:47] 能够做得到
[01:10:49] 是
[01:10:49] 所以对台湾的这个
[01:10:51] 老板来讲
[01:10:51] 可能不是用这个
[01:10:53] 所谓的
[01:10:53] 算力换人力
[01:10:55] 而是想不到
[01:10:56] 要算力给人力
[01:10:57] 是
[01:10:58] 给你的员工
[01:10:58] 配备
[01:10:59] 老板可能在这方面
[01:11:00] 又要先大方
[01:11:01] 有人说法是说
[01:11:02] 你看员工表现之后
[01:11:04] 再决定给算力
[01:11:06] 最近的说法是
[01:11:07] 先给算力
[01:11:08] 先给token fee
[01:11:09] 之后员工用了
[01:11:11] 之后再来决定
[01:11:12] 要投资多少
[01:11:13] 不要先等员工会了
[01:11:15] 这有一点叫员工
[01:11:16] 自己去补习
[01:11:17] 补习完之后
[01:11:18] 我再决定要
[01:11:18] 我要聘你
[01:11:19] 人家就走了
[01:11:19] 好
[01:11:21] 我刚才这个
[01:11:21] 问的有点欲罢
[01:11:22] 不能
[01:11:23] 我来替这个
[01:11:28] 我们线上的
[01:11:28] 来请教英文老师
[01:11:30] 就是说
[01:11:30] 那企业在推展
[01:11:31] 这个AI的过程当中
[01:11:35] 就是比如说
[01:11:37] 你要自己养agent
[01:11:38] 那或者说
[01:11:39] 在相对封闭的环境下
[01:11:41] 使用AI来处理
[01:11:43] 比较敏感的资料
[01:11:45] 那对中小企业来讲
[01:11:47] 没有资源来使用免费的AI
[01:11:50] 对中小企业来讲
[01:11:51] 要求免费使用AI的话
[01:11:53] 而不是这种付费
[01:11:54] 去使用比较
[01:11:55] 能力比较强的
[01:11:56] 它跟其他的这个
[01:11:58] 企业的距离
[01:12:00] 是不是越拉越大
[01:12:01] 我现在看起来
[01:12:03] 其实还不会
[01:12:03] 就是说你
[01:12:04] 你用免费的
[01:12:06] 只要你好好用
[01:12:07] 它的效果也很好
[01:12:08] 我不是打广告
[01:12:09] 不过我鼓励大家
[01:12:10] 去尝试一下
[01:12:11] GMA4
[01:12:13] Google刚推出来的GMA4
[01:12:15] 它的参数是原来
[01:12:17] GPT4
[01:12:18] 我们去年很强的
[01:12:19] 年初很强的
[01:12:20] GPT4的二十分之一
[01:12:23] 所以一张显卡
[01:12:24] 就可以跑起来了
[01:12:25] 可是它成效是完全相同的
[01:12:28] 而且它有各种版本
[01:12:31] 那这个意思就等于是说
[01:12:33] 如果你今天在玩小龙虾之后
[01:12:36] 你跑的是GMA4
[01:12:37] 在一台PC server把它跑起来
[01:12:40] 那你不用付钱
[01:12:42] 那你基本上就是不用钱的
[01:12:45] 又有AI脑袋的小龙虾
[01:12:47] 而且相当于去年年初的GPT4
[01:12:49] 那可能也不差
[01:12:51] 那当然如果说有人觉得
[01:12:53] 要用更好的这种云端
[01:12:55] 所以实际上赶快去用比较重要
[01:12:58] 那个经费有很多的方法可以省钱
[01:13:00] 是
[01:13:00] 那就是这边有一个朋友的问题是说
[01:13:05] 在AI时代里面
[01:13:06] 特别在台湾的软体公司
[01:13:08] 那不管是针对土B或土C端的
[01:13:10] 这个软体公司可能
[01:13:11] 接下来的这个生存
[01:13:13] 所碰到的挑战或者机会来讲
[01:13:16] 哪一个会更大一些
[01:13:17] 我觉得全世界的软体公司
[01:13:18] 都有相同问题
[01:13:20] 那台湾过去软体公司的规模不是很大
[01:13:22] 所以我们的冲击不会很大
[01:13:24] 那我们刚刚讲了甲方乙方
[01:13:26] 软体公司永远有机会
[01:13:27] 从乙方来到甲方
[01:13:29] 所以其实这个还是
[01:13:30] 不用太特别担心
[01:13:32] 甚至美国应该修正软体公司
[01:13:35] 发展的方向了
[01:13:36] 因为我们过去都觉得
[01:13:37] 做product才是对
[01:13:39] 因为它可以规模化
[01:13:40] 做project客制化不能规模化
[01:13:42] 可是现在的企业开始倒过来
[01:13:44] 他说project的客制化
[01:13:47] 反而可以绑住大客户
[01:13:48] 在这个时候锤子整合
[01:13:50] 你product化的话
[01:13:52] AI如果一个晚上写出来扣
[01:13:54] 比你更强又免费了
[01:13:55] 那你的product突然间就没价值
[01:13:57] 所以软体要重新检讨
[01:13:59] 最重要它不能成为工具
[01:14:01] 如果它是工具
[01:14:02] 它就没有品牌忠诚度了
[01:14:04] 因为它就是被AI使用而已
[01:14:06] 所以软体是绑住客户
[01:14:08] 服务客户的信贷感最重要
[01:14:10] OK
[01:14:11] 就是那个软体是那个特洛伊幕吗
[01:14:13] 对
[01:14:13] 那个服务才是后面真正是工程
[01:14:16] 就是软体是为了提供服务
[01:14:18] 为了赢得信贷感
[01:14:19] 或者让客户觉得说
[01:14:21] 他交给我就好了
[01:14:22] 但是如果你被他当成工具
[01:14:25] 他是客户不用自己来操作
[01:14:27] 透过AI agent来操作
[01:14:29] 你就麻烦了
[01:14:29] 所以为什么软体公司的股价修正了
[01:14:32] 就是大多数的软体
[01:14:34] 都只是工具软体
[01:14:36] 那么以前可能是人来操作
[01:14:38] 以后是AI来操作
[01:14:39] 他们说软体的溢价
[01:14:41] 它的margin
[01:14:42] 它的那个premium就减少
[01:14:44] 是
[01:14:44] 那这边还有一个朋友的问题
[01:14:46] 就是说
[01:14:47] 如果要成为那个百分之一
[01:14:48] 或者百分之几的前工作者的话
[01:14:51] 或者企业
[01:14:52] 那你势必要
[01:14:53] 用更多的AI工具
[01:14:56] 包含代理
[01:14:56] 那你也要授权给它
[01:14:58] 更大的这个范围
[01:14:59] 让它可以去运作
[01:15:00] 的同时就是说
[01:15:01] 其实也曝露在可能更高的
[01:15:04] 自然的风险里头
[01:15:05] 这两者怎么去取得平衡
[01:15:07] 好
[01:15:07] 我觉得台湾
[01:15:08] 如果我们讲说
[01:15:09] 用小龙虾这种工具
[01:15:10] 我用概念一下
[01:15:11] 因为刚才提到
[01:15:12] 如果你现在的生意
[01:15:14] 都是岛内生意
[01:15:15] 就是我们内需产业的话
[01:15:17] 我倒也不建议说
[01:15:18] 这个迫切性那么高
[01:15:19] 反而你是把用AI
[01:15:21] 一般问问题的能力提高
[01:15:22] 就已经很不错了
[01:15:24] 知道所谓的问用管道
[01:15:25] 刚才讲的这个概念
[01:15:26] 你不一定要立刻走入
[01:15:28] 所谓的代理式的AI
[01:15:30] 但如果你做
[01:15:31] 全球性的服务
[01:15:33] 不管你是制造业采购互动
[01:15:35] 或者所谓的人家供应链
[01:15:37] 你不去做
[01:15:38] 别人就把你剃掉了
[01:15:40] 因为你不在
[01:15:40] 那个供应链里头
[01:15:41] 他就要特别特别小心
[01:15:43] 那所以我们再倒回来
[01:15:45] 还是从风险跟机会做平衡
[01:15:48] 假设它代理来
[01:15:50] 给你的短期机会没那么高
[01:15:51] 风险很大
[01:15:52] 比如说台湾的本地银行
[01:15:54] 立刻要不要推动代理
[01:15:55] 或许风险是个问题
[01:15:57] 可是我们今天
[01:15:58] 如果本地银行
[01:15:59] 已经蛮国际化
[01:16:00] 它的对口是JP Morgan
[01:16:02] 你不去做AI代理
[01:16:04] 你可能就上市机会了
[01:16:05] 所以大家可以去平衡这两个
[01:16:07] 是
[01:16:07] 好那我这边再看到是说
[01:16:10] 可能时间的关系
[01:16:12] 我们只有最后一个
[01:16:13] 来自我们线上的问题
[01:16:14] 是
[01:16:15] 那这边提到是说
[01:16:20] 台湾很多都是制造业的技术
[01:16:23] 那如果说要用这个所谓的大语言模型的话
[01:16:27] 那这样的话是不是资料也要提供去做训练的同时
[01:16:32] 是不是也曝露在一些可能将来这个资料会流失的
[01:16:36] 我提供一下现在全世界成功的500大企业都是把资料丢到这个云端里头去训练嘛才会成功的
[01:16:43] 所以我忘了讲说资料上云不是问题
[01:16:46] 所以是你自己的资安能力的问题
[01:16:49] 因为现在大的云端AI模型系统
[01:16:52] 他跟他大客户之间都有一个私有云的概念
[01:16:56] 他可以在他的cloud里头架构一个privatecloud给你
[01:17:00] 甚至你的资料放在你的地端
[01:17:04] 你跑的时候才送上去
[01:17:06] 跑上去的时候已经变成向量化
[01:17:08] 已经被加密了
[01:17:10] 而那一端你在他的私有云里头跑
[01:17:13] 你要在用他的模型之前
[01:17:15] 你自己做一次解密的动作
[01:17:17] 所以双向加解密
[01:17:19] 这大概不会有太大的问题
[01:17:22] 所以有人问我这个问题的时候
[01:17:24] 我大部分的想法就是台湾还没有开始用
[01:17:27] 因为你如果去问AI要怎么办
[01:17:31] 他会建议你企业可以这样做
[01:17:33] 这个很像就是说如果想要自己有一片花园种菜
[01:17:38] 现在可能多数人家里没有这个条件
[01:17:40] 但你到阳明山去住一片地
[01:17:42] 对对对
[01:17:43] 旁边围起围来
[01:17:44] 你这讲得非常非常清楚
[01:17:45] 还是你的
[01:17:46] 对对对
[01:17:46] 好那我们非常谢谢
[01:17:48] 简历峰简老师在我们这一次的论坛里面分享的
[01:17:51] 那简老师最近有两本书
[01:17:53] 一本是AI台湾大战略
[01:17:54] 一本是出海
[01:17:55] 强烈建议大家是必读
[01:17:57] 会得到很多收入
[01:17:58] 以及我们在6月26号的
[01:18:00] 未来商务展的主题演讲
[01:18:02] 你们会再请到简老师
[01:18:03] 再来跟大家进一步探讨很多
[01:18:05] AI在整个企业跟工作的应用的一些
[01:18:07] 实际的案例跟经验
[01:18:09] 好谢谢
[01:18:09] 谢谢大家
[01:18:10] 谢谢
[01:18:10] 也谢谢我们线上朋友的热情的提问
[01:18:14] 数位时代各位线上的听众大家好
[01:20:20] 我是BCG的薛仪廷
[01:20:21] JT
[01:20:22] 今天很高兴呢
[01:20:23] 在这边跟大家分享一下
[01:20:25] 我们过去呢
[01:20:26] 这一段时间
[01:20:27] 这个不管是利用问卷的方式
[01:20:29] 或是我们实务上面
[01:20:30] 辅导的实务上面呢
[01:20:31] 得到一些有关AI的一些观察
[01:20:33] 那我先简单的这样开头
[01:20:36] 我们年初的时候呢
[01:20:38] 就今年年初的时候呢
[01:20:39] 做了一个全球性的一个
[01:20:41] 比较大的一个调查
[01:20:42] 那基本上就是
[01:20:44] 全球的
[01:20:45] 这个各行各业的领先的
[01:20:47] 这个行业的CEO
[01:20:48] 问他们一些问题
[01:20:50] 那我把这些呢
[01:20:51] 这个有趣的一些结论
[01:20:53] 跟大家先分享一下
[01:20:54] 来当成开头
[01:20:55] 第一个呢
[01:20:56] 我们去问他就是说
[01:20:57] 你今年在AI的投入
[01:20:58] 跟去年比起来
[01:21:00] 会更多更少
[01:21:01] 结果呢
[01:21:02] 平均啊
[01:21:03] 那个回答的
[01:21:05] 这些CEO们呢
[01:21:06] 说今年就是2026年的投入呢
[01:21:08] 会比去年的增加一倍
[01:21:09] 换句话说是double
[01:21:10] 第二个就是说呢
[01:21:12] 那你今年的投资
[01:21:13] 大概会占你营收多少
[01:21:14] 那这个平均的比例
[01:21:15] 是大概1.7%
[01:21:17] 那第三个呢
[01:21:18] 更有意思就是说
[01:21:19] 如果今年2026年啊
[01:21:21] 你的投资啊
[01:21:23] 回报
[01:21:23] 没有达到你当初的预期的话
[01:21:25] 你会不会持续投资AI
[01:21:27] 有9成以上的CEO呢
[01:21:30] 说会的
[01:21:30] 有94%的CEO说会的
[01:21:33] 然后呢
[01:21:34] 有72%
[01:21:35] 就是7成以上的CEO
[01:21:36] 说呢
[01:21:36] 他们是AI啊
[01:21:37] 策略啊
[01:21:38] 或是AI转型的主要的主导者
[01:21:40] 然后呢
[01:21:42] 有5成的CEO呢
[01:21:43] 说什么呢
[01:21:44] 说
[01:21:44] 他呢
[01:21:45] 这个工作呢
[01:21:46] 有没有办法做下去
[01:21:47] 他的直哀成败啊
[01:21:49] 跟呢
[01:21:50] 这个公司啊
[01:21:51] 是不是成功能够利用AI啊
[01:21:53] 有直接的关系
[01:21:54] 那我想呢
[01:21:55] 这也是非常有冲击性的一个
[01:21:57] 一个结果啊
[01:21:58] 就大家知道呢
[01:21:59] 自己呢
[01:21:59] 的公司的未来
[01:22:00] 自己工作的未来
[01:22:01] 跟AI啊
[01:22:02] 是不是真的能够用起来
[01:22:04] 有一个绝对的关系
[01:22:05] 然后呢
[01:22:06] 有9成的这个CEO觉得啊
[01:22:08] 这个AI的代理啊
[01:22:09] 会在今年呢
[01:22:10] 看到一些一些很好的一些成果
[01:22:12] 好
[01:22:13] 那我想呢
[01:22:13] 讲这个东西是什么呢
[01:22:15] 我想说的就是说
[01:22:16] 大的方向呢
[01:22:17] 大家对AI呢
[01:22:18] 还是非常正面的
[01:22:19] 而且呢
[01:22:20] CEO啊
[01:22:22] 是在这个整体的AI转型上面呢
[01:22:24] 是一个主导的角色
[01:22:24] 好
[01:22:25] 那我想这个对呢
[01:22:26] 我们今天想要传达的一个
[01:22:27] 一个Message
[01:22:28] 有很非常重要的一个启发啊
[01:22:30] 那
[01:22:30] 呃
[01:22:31] 我们每一年啊
[01:22:32] 那个其实都
[01:22:33] 呃
[01:22:34] 我在追踪啊
[01:22:35] 呃
[01:22:35] 基本上上千家的
[01:22:36] 这个企业啊
[01:22:37] 从2023年
[01:22:38] 24年开始啊
[01:22:39] 每一年都会追踪啊
[01:22:41] 追踪了这些
[01:22:42] 不同的企业啊
[01:22:43] 这个在AI上面的投入
[01:22:44] 跟它的成效
[01:22:45] 我们把这些企业呢
[01:22:47] 分成了四个
[01:22:48] 不同的向线啊
[01:22:50] 最左边啊
[01:22:51] 这个我们叫做AI比较迟代啊
[01:22:53] 就是
[01:22:53] 呃
[01:22:54] AI比较落后的企业啊
[01:22:55] 那它的特色是什么呢
[01:22:57] 简单来说就是说
[01:22:58] 他们呢
[01:22:59] 还是在
[01:23:00] 呃
[01:23:00] 怎么讲
[01:23:01] 还在评估的阶段吧
[01:23:02] 或是甚至呢
[01:23:03] 就在观察的阶段吧
[01:23:04] 好
[01:23:04] 就说呃
[01:23:05] 只是说说
[01:23:06] 觉得AI好像很有未来
[01:23:08] 可是呢
[01:23:09] 实质上呢
[01:23:10] 采取的这个
[01:23:11] 不管是投资也好啦
[01:23:12] 或是行动也好
[01:23:13] 相对比较少
[01:23:14] 这个是最左边的那个
[01:23:15] 然后再来是一个叫
[01:23:16] AI起步的企业啊
[01:23:18] 意思就是说呢
[01:23:19] 它已经开始在做一些试点
[01:23:21] 好
[01:23:21] 然后再来是呢
[01:23:22] 已经规模化了
[01:23:23] 意思就是说
[01:23:24] 它里面呢
[01:23:24] 其实已经有一些
[01:23:25] 呃
[01:23:26] 这个专案呢
[01:23:27] 已经呢
[01:23:27] 从这个试点啊
[01:23:28] 到规模化
[01:23:29] 已经基本上就全公司啊
[01:23:31] 或是全区域的一个铺开了
[01:23:33] 然后呢
[01:23:33] 最后啊
[01:23:34] 最右边的那四分之一呢
[01:23:36] 其实叫做
[01:23:36] 我们叫AI前瞻的布局的企业啊
[01:23:39] 意思就是说呢
[01:23:40] 呃
[01:23:40] 这个这个
[01:23:41] AI不但是已经规模化
[01:23:43] 而且呢
[01:23:43] 已经看到结果了
[01:23:44] 已经看到成效了
[01:23:46] 那你看看这个
[01:23:47] 这个比例还挺有意思啊
[01:23:48] 就是2024年的时候啊
[01:23:50] 呃
[01:23:50] 我们右边的两个吧
[01:23:52] 就是AI规模化
[01:23:54] 跟AI的这个前瞻布局啊
[01:23:56] 呃
[01:23:56] 这个我们叫前前
[01:23:57] 呃
[01:23:58] 这个前半端
[01:23:59] 呃
[01:23:59] 这个呃
[01:24:00] 前半的这个
[01:24:01] 呃
[01:24:01] 这个这个这个
[01:24:02] 呃
[01:24:02] 跑者啊
[01:24:03] 跟后半
[01:24:04] 呃
[01:24:04] 后半班的这个跑者
[01:24:06] 左边的两个啊
[01:24:07] 比起来的话
[01:24:07] 2024年呢
[01:24:09] 这个前半呢
[01:24:10] 大概有大概26%嘛
[01:24:12] 哦
[01:24:12] 所以大概不到三成
[01:24:13] 2025年的时候呢
[01:24:15] 这个比例拉到四成左右了
[01:24:16] 哦
[01:24:17] 换句话说
[01:24:17] 越来越多的这个企业呢
[01:24:19] 已经哦
[01:24:19] 这个规模化
[01:24:20] 甚至呢
[01:24:21] 已经呢
[01:24:21] 呃
[01:24:22] 看到价值的创造了
[01:24:23] 哦
[01:24:23] 那呃
[01:24:24] 所以显然是在增加的
[01:24:26] 那我们等一下啊
[01:24:27] 就会跟大家分享一下呢
[01:24:29] 这个前半端啊
[01:24:30] 跟后半端的这个
[01:24:31] 这个呃
[01:24:31] 就是右边的两个
[01:24:33] 跟左边的两个的企业
[01:24:34] 到底有什么不一样哦
[01:24:35] 那希望呢
[01:24:36] 利用这个东西
[01:24:36] 给大家一些启发
[01:24:37] 哦
[01:24:37] 那我先讲一下
[01:24:38] 在这一个页里面啊
[01:24:40] 那个AI的前瞻布局企业啊
[01:24:42] 我们呢
[01:24:43] 看到平均来讲呢
[01:24:44] 他们营收的增长
[01:24:45] 有大概1.7倍
[01:24:46] 哦
[01:24:47] 就是年营收增长1.7倍
[01:24:48] 哦
[01:24:49] 那TSR呢
