[00:12:21] 各位線上的朋友大家午安
[00:57:10] 是在美國有這個裁員潮
[00:57:12] 那可能前幾年那時候
[00:57:14] 在數字轉型的時候
[00:57:15] 其實是很多call center
[00:57:16] 其實被彩色掉
[00:57:18] 那我們在這兩年
[00:57:19] 看到很多是programmer
[00:57:20] 是IT人員
[00:57:21] 那就這樣的一個變化
[00:57:24] 為什麼我們在臺灣沒有發生
[00:57:26] 好 我常常講一個概念
[00:57:27] 就是說臺灣其實
[00:57:28] 我們GDP雖然非常好
[00:57:31] 但我們大部分都是
[00:57:32] 製造業的出口
[00:57:33] 那麼這一次的AI
[00:57:35] 我們如果說確的GDP
[00:57:36] 它比較像是內容生成
[00:57:38] 我們說generated AI
[00:57:40] 所以它是屬於內容
[00:57:41] 內容生成的影響
[00:57:43] 那麼通常它影響是
[00:57:45] 我們說師之輩
[00:57:46] 老師 律師 會計師
[00:57:48] 或者我們說行銷人員
[00:57:51] 產生內容的媒體人員
[00:57:52] 那臺灣這一個產業呢
[00:57:54] 雖然數字都很好
[00:57:55] 可是我們是屬於
[00:57:56] 內需型產業
[00:57:57] 內需型產業
[00:57:58] 就我們服務
[00:57:59] 2300萬到400萬的
[00:58:01] 臺灣的這個民眾之後
[00:58:03] 往外擴的就比例很少
[00:58:05] 所以我們用AI的動機
[00:58:07] 其實我們很多人都用
[00:58:08] 只是它不會每天用
[00:58:09] 動機沒那麼強烈
[00:58:10] 因為你不會因為
[00:58:12] 用了AI之後
[00:58:13] 你可能提早下班了
[00:58:14] 可是老闆並沒有感受
[00:58:16] 營收會增加
[00:58:16] 原因就是因為
[00:58:18] 我們的天花板沒打破
[00:58:19] 所以這是有一點
[00:58:20] 我們自己的特色
[00:58:22] 可是如果今天AI來到
[00:58:24] 可以影響
[00:58:25] 所謂的企業的代理
[00:58:26] 就不太一樣
[00:58:27] 因為企業光采購
[00:58:29] 用AI可以做很多的改變
[00:58:31] 比如說效能提高
[00:58:32] 成本下降
[00:58:34] 而是全球採購
[00:58:35] 比如說製造業
[00:58:36] 它就動起來
[00:58:37] 那金融業呢
[00:58:38] 它可能海外服務
[00:58:39] 開始透過AI有影響
[00:58:41] 跨國語言問題也解決掉
[00:58:43] 所以呢
[00:58:43] 天花板不夠高
[00:58:45] 市場的天花板不夠高
[00:58:47] 會使得我們感受比較慢
[00:58:49] 可是即使這樣
[00:58:51] 它最終還是會來到臺灣
[00:58:52] 你提到那個
[00:58:54] 臺灣自我感覺良好這件事情
[00:58:56] 去年其實臺灣
[00:58:58] 有個網路大調查裡面
[00:58:59] 也提到
[00:58:59] 因為實際上付費
[00:59:00] 可以去使用這些
[00:59:02] AI工具的
[00:59:03] 在臺灣其實那個比例不到兩成
[00:59:05] 但是有將近一半
[00:59:06] 都覺得自己使用
[00:59:08] 很熟練
[00:59:09] 所以中間其實有蠻大一個落差
[00:59:11] 因為如果它不是使用付費的
[00:59:13] 它使用的是免費的
[00:59:14] 跟付費的
[00:59:15] 其實那個能夠提供的
[00:59:16] 是差別很大的
[00:59:17] 所以當然這個是屬於一般
[00:59:19] 可能使用者來講
[00:59:20] 不到兩成
[00:59:21] 但是有將近五成
[00:59:22] 覺得自己用的已經很熟練了
[00:59:24] 所以這中間
[00:59:24] 其實存在巨大的一個
[00:59:26] 可能認知上面的一個落差
[00:59:27] 我提一下
[00:59:30] 就是說大家應該全臺灣上班族
[00:59:33] 或者學生都用過AI了
[00:59:35] 那麼也可能蠻依賴AI
[00:59:37] 可是我們用AI的技能
[00:59:38] 不見得是與時俱進
[00:59:40] 但AI一直在進步
[00:59:42] 所以有一點是AI主動在幫我們
[00:59:45] 但我們自己不見得
[00:59:46] 能夠主動幫我們自己
[00:59:48] 最重要的地方是
[00:59:49] 如果你的工作場域
[00:59:51] 或學習場域
[00:59:53] 它沒有產生競爭者
[00:59:54] 來跟你一起競爭
[00:59:56] 使用那個AI的時候
[00:59:57] 我們的感覺就沒有那麼好
[00:59:59] 假設你班上你已經第一名了
[01:00:01] 你都沒念書就第一名了
[01:00:03] 我猜我們很難進步
[01:00:04] 但你班上如果有兩個同學
[01:00:06] 你有些贏他
[01:00:08] 有些輸他
[01:00:08] 大家彼此就會進步很快
[01:00:10] 所以職場的AI的使用
[01:00:13] 很重要的地方是
[01:00:14] 職場用起來
[01:00:15] 那職場工作者
[01:00:16] 才在工作這樣使用
[01:00:18] 他很容易看到成效
[01:00:20] 那如果是他回家用一用
[01:00:22] 他覺得不錯不錯
[01:00:23] 就是一個顧問的角色而已
[01:00:25] 幫你讀書的角色
[01:00:26] 那我想再請教立宮老師
[01:00:28] 那像美國
[01:00:29] 現在有這麼多這些
[01:00:30] 被裁員的這些專業的工作者
[01:00:33] 是
[01:00:33] 他接下來
[01:00:35] 就是會對可能職場
[01:00:36] 或者企業的這個
[01:00:38] 造成什麼樣的一些影響
[01:00:39] 其實我最喜歡講說
[01:00:41] 被裁員的國家
[01:00:43] 有AI
[01:00:43] 有人因為AI
[01:00:45] 被裁員的國家
[01:00:46] 代表競爭力
[01:00:47] 那代表他們有本事
[01:00:49] 騰龍換鳥
[01:00:50] 也就是說
[01:00:52] 籠子騰得出來
[01:00:53] 因為有錢可以騰龍子
[01:00:55] 只有有鳥可以進去
[01:00:57] 那他看得到有價值
[01:00:59] 他可以換更大龍子
[01:01:01] 把更好的鳥拉進來
[01:01:03] 那這個就是現在典型的戲骨
[01:01:05] 你可以看到他被裁掉
[01:01:07] 反而是非常高薪的
[01:01:08] 反而是非常優秀的人
[01:01:10] 那為什麼是這樣子呢
[01:01:12] 因為從某種概念下
[01:01:14] 這些比較原來比較網路時代
[01:01:17] 成功的企業
[01:01:18] 他其實已經可以感受
[01:01:20] AI對他組織的影響
[01:01:22] 那一方面
[01:01:23] 他需要新的技能的人
[01:01:25] 另一方面呢
[01:01:26] 他需要投資在算力
[01:01:28] 他需要投資在token
[01:01:30] 所以他等於是
[01:01:31] 把他的資源分配
[01:01:32] 做了調整
[01:01:33] 但是剛剛之前
[01:01:35] 我們在聊的時候
[01:01:35] 也有講到
[01:01:36] 對他們的影響是什麼
[01:01:38] 其實在矽谷
[01:01:39] 因為AI而被裁員的
[01:01:41] 優秀人才
[01:01:41] 一點都不用擔心
[01:01:43] 但唯一要改變是
[01:01:44] 所謂的從乙方到甲方
[01:01:47] 因為被裁的人都是什麼
[01:01:48] 那些開發產品的單位
[01:01:50] 那他現在可能不需要
[01:01:52] 這麼多人開發產品
[01:01:53] 或者開發產品流程中
[01:01:55] 已經有AI了
[01:01:56] 所以在這種情形系
[01:01:57] 他就不要那麼多人
[01:01:59] 所以這些人就會
[01:02:00] 到所謂的甲方
[01:02:02] 就是所謂的買方去了
[01:02:03] 買方那邊呢
[01:02:05] 幫他剛剛之前也提到
[01:02:07] 就是
[01:02:07] Forward Department Engineer
[01:02:10] 在等著他
[01:02:11] 對就是直接到
[01:02:12] 科務那邊去上班的
[01:02:13] 我就講一個小小故事
[01:02:15] 我兒子現在在美國
[01:02:16] 他不錯學校念
[01:02:17] Compute Science
[01:02:18] 他的學長
[01:02:19] 學弟現在都不好找事
[01:02:21] 對啊
[01:02:22] 可是呢
[01:02:23] 他們每天收到的
[01:02:24] 這個黑漢腿要來找他
[01:02:26] 就是
[01:02:26] Forward Department Engineer
[01:02:28] 你要不要去
[01:02:28] 這就是乙方到甲方
[01:02:30] 當然這個也是
[01:02:31] 另外一種形式的
[01:02:32] 產銷合一
[01:02:33] 因為本來是生產者
[01:02:35] 供應商的角度
[01:02:36] 但現在你到企業去工作了
[01:02:37] 你就變成是消費者
[01:02:38] 所以其實是一個
[01:02:39] 良性的擴散
[01:02:40] 是一個良性的擴散
[01:02:41] 所以這一波產品反而是
[01:02:42] 會讓AI的整個匯入
[01:02:44] 應用擴散
[01:02:45] 因為他本來是開發產品
[01:02:47] 你最懂這個嗎
[01:02:48] 你到企業去協助人家匯入
[01:02:49] 也會比較知道
[01:02:51] 其實被裁員的這一些人
[01:02:52] 剛好是
[01:02:53] 他的組織原來是
[01:02:54] 最懂AI
[01:02:55] 最懂使用AI
[01:02:56] 所以他帶著部分的經驗
[01:02:58] 他就去擴散去
[01:02:59] 所以從乙方到甲方
[01:03:00] 這是一個市場的
[01:03:02] 自然發展的現象
[01:03:03] 那臺灣要擔心的地方
[01:03:05] 就是我們沒有那麼多
[01:03:06] 開發AI應用
[01:03:07] 跟AI基礎工具的公司
[01:03:10] 所以我們的乙方人才很少
[01:03:13] 那我們的甲方呢
[01:03:15] 他已經感受到
[01:03:16] 來自美國的這種工具的威力
[01:03:18] 但是在組織上
[01:03:20] 他找不到超級使用者
[01:03:23] 或者超級AI人才來帶動他
[01:03:25] 那這種時候
[01:03:26] 就是我們等一下
[01:03:27] 可以多聊一下
[01:03:28] 就是組織怎麼去改造他了
[01:03:31] 對 因為超級使用者
[01:03:32] 我記得我們
[01:03:33] 更早之前跟麗方老師有聊
[01:03:35] 就是像Anthropic這個
[01:03:36] 創辦人跟CEO
[01:03:37] 就是Daria Amode
[01:03:39] 就是你那時候提到說
[01:03:40] 他一天用7個
[01:03:41] 7個AI
[01:03:42] 也許可能又有新增
[01:03:44] 或許他只開一個
[01:03:46] 去管理那7個
[01:03:47] 對 所以就是說
[01:03:48] 他其實本身
[01:03:49] 雖然也是乙方
[01:03:50] 但是他也是一個公司的經營者
[01:03:53] 那特別是
[01:03:55] 現在很多AI工具
[01:03:56] 或者這些AI代理的
[01:03:57] 這個開發的公司
[01:03:59] 也很清楚就是說
[01:03:59] 他的物件必須是企業
[01:04:01] 才能付錢
[01:04:02] 因為過去兩年前
[01:04:02] 我們在談那個生產力工具
[01:04:04] 很多真的一般工作者
[01:04:05] 可能一個月收20塊美金
[01:04:07] 這件事情
[01:04:07] 大概是一開始滾量
[01:04:09] 但是你後面真的要產生一個
[01:04:11] 比較可持續的一個大的一個收入
[01:04:13] 還在從企業這邊下手
[01:04:14] 沒錯
[01:04:15] 那所以剛剛也談到
[01:04:16] 所以說訂閱制
[01:04:17] 個人訂閱制的這個營收
[01:04:19] 是不太夠的
[01:04:19] 不太夠
[01:04:20] 對 因為那個一個人20美金
[01:04:22] 你要乘以幾百萬幾千萬的人
[01:04:24] 還是比較慢
[01:04:25] 但是一家企業可以就是一年花
[01:04:27] 可能幾十萬美金
[01:04:29] 對
[01:04:29] 上百萬美金
[01:04:30] 那就差距很大
[01:04:31] 那特別是說
[01:04:32] 我們現在在談的這個AI代理裡面
[01:04:34] 跟麗芳老師也特別提到說
[01:04:36] 所謂的企業代理
[01:04:37] 是
[01:04:37] 還是這個AI代理裡面
[01:04:39] 現在更核心
[01:04:41] 更關鍵的一塊
[01:04:42] 是
[01:04:42] 那這個就牽涉到
[01:04:43] 就是說
[01:04:44] 所謂的企業決策者或者老闆
[01:04:46] 跟這件事繫結的關係
[01:04:48] 就更高了
[01:04:49] 因為他就不是那個
[01:04:50] 所謂的基層工作者
[01:04:51] 這件事情
[01:04:52] 所以我們在基層工作者
[01:04:54] 以前有談過
[01:04:55] 所謂的reskill
[01:04:56] upskill這件事情
[01:04:57] 因為希望他不是一個
[01:04:58] 被replacement
[01:04:59] 是可以做displacement
[01:05:01] 但到了決策者這邊
[01:05:03] 在思考這件事情
[01:05:04] 因為現在既然已經進到
[01:05:05] 所謂的企業代理
[01:05:06] 企業代理
[01:05:07] 就老闆不太可能
[01:05:07] 就是說底下員工
[01:05:08] 大家都去用
[01:05:09] 我自己在旁邊看
[01:05:10] 已經不可能了
[01:05:11] 因為現在這個發展
[01:05:13] 有一點是說
[01:05:14] 我們大概過去三年
[01:05:15] 談的比較多是員工賦能
[01:05:17] 那如果我們今天講
[01:05:19] 有一個是組織賦能
[01:05:20] 一個是員工賦能
[01:05:22] 那我們都先想說
[01:05:23] 員工賦能之後
[01:05:24] 讓組織能夠賦能
[01:05:26] 可是員工的動機
[01:05:27] 跟組織的動機
[01:05:28] 是不一樣的
[01:05:29] 員工的動機呢
[01:05:30] 是老實說
[01:05:32] 想把工作早點完成
[01:05:33] 做得不差
[01:05:34] 所以我常常講說
[01:05:36] 員工的動機是80分
[01:05:37] 他不會是老闆動機的120分
[01:05:40] 所以組織賦能的邏輯
[01:05:42] 就是讓這個組織呢
[01:05:43] 來到100分至少
[01:05:45] 那120分就是組織
[01:05:46] 做到原來做不到的事情
[01:05:48] 但是如果是由員工
[01:05:49] 自發性的推動
[01:05:50] 是真的很難達到
[01:05:52] 這個老闆要的目標
[01:05:54] 可是如果老闆自己不會
[01:05:56] 甚至自己感受不到
[01:05:57] AI的威力跟威脅的話
[01:05:59] 那麼老闆覺得員工進步了
[01:06:02] 就是組織進步了
[01:06:04] 這事實上是兩回事的
[01:06:06] 但是老闆這些一定會感受到
[01:06:09] 為什麼
[01:06:09] 因為他同業
[01:06:11] 他可能開始用企業代理的
[01:06:13] AI的代理
[01:06:14] 我常常還是覺得
[01:06:16] procurement採購影響最大
[01:06:18] 因為我前幾天
[01:06:20] 就是中部一場互動演講
[01:06:22] 跟當地的產業在互動
[01:06:24] 他現在最怕是
[01:06:26] AI在所謂的B2B採購的時候
[01:06:29] 我的零元件供應商
[01:06:31] 不在AI的採購推薦名單裡
[01:06:34] 你就永遠沒辦法被買到
[01:06:36] 而且你的銷售流程比人家差
[01:06:40] 人家按一按鍵
[01:06:42] 就可以shipping
[01:06:44] 就可以結賬
[01:06:45] 就可以入賬
[01:06:46] 那你整個都沒有在
[01:06:48] 他這一個生產鏈裡頭
[01:06:50] 你看那個危險性有多大
[01:06:51] 這基本上就是滅頂之災了
[01:06:53] 滅頂之災
[01:06:53] 所以我剛剛是說
[01:06:55] 製造業好像沒問題
[01:06:57] 可是如果你從
[01:06:58] 製造業未來的產業銷流程裡頭
[01:07:01] 是有大問題了
[01:07:03] 那B2B採購這個
[01:07:05] 對絕大多數企業來講
[01:07:07] 這都是他的命脈
[01:07:08] 對對對
[01:07:08] 因為你一旦不在那個名單上面
[01:07:10] 你基本上就是訂單就斷絕了
[01:07:12] 對對對
[01:07:13] 所以要想辦法
[01:07:13] 要讓自己能夠達到這個
[01:07:15] 應該稱為叫所謂AI的
[01:07:17] 這個compliance
[01:07:18] 或者AI capable
[01:07:19] 對對對
[01:07:19] 至少你要在那個名單上
[01:07:21] 能夠出現
[01:07:22] 被這些agent能夠找到
[01:07:23] 他等於是說
[01:07:24] 你必須出現在
[01:07:25] agentic commerce裡頭
[01:07:26] 你才能夠
[01:07:27] 在人家percurement裡頭
[01:07:28] 所以所有現在都多了一個
[01:07:30] agentic
[01:07:31] agentic engineering
[01:07:32] 你能夠讓你的工程團隊
[01:07:35] 更能夠AI代理化
[01:07:37] 那另外一個
[01:07:38] 你的銷售行為
[01:07:41] 他要agentic的話
[01:07:42] 那最終組織
[01:07:43] 就agentic enterprise
[01:07:44] 企業變成是代理型企業
[01:07:47] agentic price
[01:07:49] 這裡面會有agentic commerce
[01:07:50] 會有agentic procurement
[01:07:51] 那當然這一塊的
[01:07:54] 就是說
[01:07:54] 跟agentic的commerce有關的
[01:07:57] 就是除了B2B之外
[01:07:58] 其實B2C這一塊
[01:07:59] 現在其實也很關注
[01:08:00] 對他就所謂的AI shopping
[01:08:02] 我可以這樣講
[01:08:04] 去年的耶誕節
[01:08:05] 或美國sandsgiving
[01:08:06] 我們已經給他一個名詞
[01:08:08] 比較是AI recommendation
[01:08:09] 就是透過AI的推薦
[01:08:12] 完成的採購
[01:08:13] 大概20%
[01:08:15] 但他不是所謂的人跟機器去買
[01:08:17] 是機器推薦給你
[01:08:19] 之後你決定要買
[01:08:21] 但未來呢
[01:08:22] 他們預估到今年的Christmas
[01:08:24] 可能是20%
[01:08:26] 是機器幫你決定
[01:08:28] 之後去跟機器買
[01:08:29] 他新的階段
[01:08:30] 他就更像agentic commerce
[01:08:33] 所以是從AI shopping變成是
[01:08:36] AI recommendation
[01:08:38] 變成是AI的procurement
[01:08:41] 他可能今年就來到這個階段
[01:08:43] 那這個就是等於是B2C的新的商模
[01:08:46] 那這個我們說擔心AI泡沫
[01:08:49] 在應用端沒有收入
[01:08:51] 用訂閱制看起來還是有限
[01:08:53] 但是如果在agentic commerce起來
[01:08:56] 他帶動連廣告全部改變
[01:08:59] 當AI是幫你在做採購
[01:09:02] 幫你做所謂的shopping的時候
[01:09:05] 你另外一個角度呢
[01:09:07] 那廣告做給誰看
[01:09:08] 廣告是做給人看
[01:09:10] 還是給AI看
[01:09:11] 當然是給AI看的嘛
[01:09:12] 對不對
[01:09:13] 所以剛剛之前有提到說
[01:09:15] 我們internet有三個階段
[01:09:17] 我們來到AI internet
[01:09:18] 可是在internet裡頭
[01:09:20] 過去出現一個web
[01:09:21] 那web未來還會不會在
[01:09:23] 那那個在的那個web
[01:09:25] 到底是給機器看
[01:09:26] 還是給人看
[01:09:27] 我們現在可以開始觀察了
[01:09:29] 所以應該以後也會提供
[01:09:31] 給AI看的browser
[01:09:32] 對
[01:09:32] 而且還有AI自己的social media
[01:09:35] 對
[01:09:35] 現在已經開始有了
[01:09:38] 現在已經有
[01:09:38] 那回到就是百分之一的工作的
[01:09:41] 這件事情
[01:09:41] 就是說他必然是
[01:09:42] 除了很懂這些工具的使用
[01:09:44] 會提問
[01:09:45] 然後知道只能去monitor
[01:09:47] 那個結果之外
[01:09:48] 他一定會是個大量
[01:09:49] 算力的消耗者
[01:09:51] 就是一個super token user
[01:09:53] 的概念
[01:09:53] 那之前黃文軒也提到說
[01:09:55] 大概一個可能合格的
[01:09:57] 一個技術人員
[01:09:58] 可能一年是
[01:09:59] 大概至少用到45萬
[01:10:00] 美金等值的token
[01:10:02] 這件事情
[01:10:02] 當然這個標準是蠻高的
[01:10:04] 回到臺灣來講
[01:10:05] 就是如果我們在臺灣這邊
[01:10:06] 百分之一
[01:10:07] 或者我們條件上
[01:10:09] 放寬是百分之十的工作者
[01:10:10] 可能他的那個
[01:10:11] 使用token的量
[01:10:12] 以目前的這個
[01:10:13] 我們臺灣的環境
[01:10:15] 跟企業提供的
[01:10:16] 應該離這個距離是
[01:10:18] 我們以後就有一個
[01:10:19] GDP排名
[01:10:20] 之後有一個
[01:10:21] per employee的token排名
[01:10:24] 我們看兩個
[01:10:26] 有沒有align在一起
[01:10:27] 那這有點像
[01:10:28] 我們在GDP
[01:10:29] 有明目GDP
[01:10:30] 跟所謂的
[01:10:31] 這個PPP
[01:10:32] 實質購買力
[01:10:33] 對不對
[01:10:34] 這就反映說
[01:10:35] 我的
[01:10:35] 我的這個匯率的現象
[01:10:37] 那組織也一樣
[01:10:39] 就是說
[01:10:39] 我現在營收
[01:10:40] 看起來很不錯
[01:10:41] 可是如果我員工
[01:10:42] 都不用token
[01:10:43] 我會不會明天后天
[01:10:45] 競爭力還很強
[01:10:46] 這可能就不見得
[01:10:47] 能夠做得到
[01:10:49] 是
[01:10:49] 所以對臺灣的這個
[01:10:51] 老闆來講
[01:10:51] 可能不是用這個
[01:10:53] 所謂的
[01:10:53] 算力換人力
[01:10:55] 而是想不到
[01:10:56] 要算力給人力
[01:10:57] 是
[01:10:58] 給你的員工
[01:10:58] 配備
[01:10:59] 老闆可能在這方面
[01:11:00] 又要先大方
[01:11:01] 有人說法是說
[01:11:02] 你看員工表現之後
[01:11:04] 再決定給算力
[01:11:06] 最近的說法是
[01:11:07] 先給算力
[01:11:08] 先給token fee
[01:11:09] 之後員工用了
[01:11:11] 之後再來決定
[01:11:12] 要投資多少
[01:11:13] 不要先等員工會了
[01:11:15] 這有一點叫員工
[01:11:16] 自己去補習
[01:11:17] 補習完之後
[01:11:18] 我再決定要
[01:11:18] 我要聘你
[01:11:19] 人家就走了
[01:11:19] 好
[01:11:21] 我剛才這個
[01:11:21] 問的有點欲罷
[01:11:22] 不能
[01:11:23] 我來替這個
[01:11:28] 我們線上的
[01:11:28] 來請教英文老師
[01:11:30] 就是說
[01:11:30] 那企業在推展
[01:11:31] 這個AI的過程當中
[01:11:35] 就是比如說
[01:11:37] 你要自己養agent
[01:11:38] 那或者說
[01:11:39] 在相對封閉的環境下
[01:11:41] 使用AI來處理
[01:11:43] 比較敏感的資料
[01:11:45] 那對中小企業來講
[01:11:47] 沒有資源來使用免費的AI
[01:11:50] 對中小企業來講
[01:11:51] 要求免費使用AI的話
[01:11:53] 而不是這種付費
[01:11:54] 去使用比較
[01:11:55] 能力比較強的
[01:11:56] 它跟其他的這個
[01:11:58] 企業的距離
[01:12:00] 是不是越拉越大
[01:12:01] 我現在看起來
[01:12:03] 其實還不會
[01:12:03] 就是說你
[01:12:04] 你用免費的
[01:12:06] 只要你好好用
[01:12:07] 它的效果也很好
[01:12:08] 我不是打廣告
[01:12:09] 不過我鼓勵大家
[01:12:10] 去嘗試一下
[01:12:11] GMA4
[01:12:13] Google剛推出來的GMA4
[01:12:15] 它的引數是原來
[01:12:17] GPT4
[01:12:18] 我們去年很強的
[01:12:19] 年初很強的
[01:12:20] GPT4的二十分之一
[01:12:23] 所以一張顯示卡
[01:12:24] 就可以跑起來了
[01:12:25] 可是它成效是完全相同的
[01:12:28] 而且它有各種版本
[01:12:31] 那這個意思就等於是說
[01:12:33] 如果你今天在玩小龍蝦之後
[01:12:36] 你跑的是GMA4
[01:12:37] 在一臺PC server把它跑起來
[01:12:40] 那你不用付錢
[01:12:42] 那你基本上就是不用錢的
[01:12:45] 又有AI腦袋的小龍蝦
[01:12:47] 而且相當於去年年初的GPT4
[01:12:49] 那可能也不差
[01:12:51] 那當然如果說有人覺得
[01:12:53] 要用更好的這種雲端
[01:12:55] 所以實際上趕快去用比較重要
[01:12:58] 那個經費有很多的方法可以省錢
[01:13:00] 是
[01:13:00] 那就是這邊有一個朋友的問題是說
[01:13:05] 在AI時代裡面
[01:13:06] 特別在臺灣的軟體公司
[01:13:08] 那不管是針對土B或土C端的
[01:13:10] 這個軟體公司可能
[01:13:11] 接下來的這個生存
[01:13:13] 所碰到的挑戰或者機會來講
[01:13:16] 哪一個會更大一些
[01:13:17] 我覺得全世界的軟體公司
[01:13:18] 都有相同問題
[01:13:20] 那臺灣過去軟體公司的規模不是很大
[01:13:22] 所以我們的衝擊不會很大
[01:13:24] 那我們剛剛講了甲方乙方
[01:13:26] 軟體公司永遠有機會
[01:13:27] 從乙方來到甲方
[01:13:29] 所以其實這個還是
[01:13:30] 不用太特別擔心
[01:13:32] 甚至美國應該修正軟體公司
[01:13:35] 發展的方向了
[01:13:36] 因為我們過去都覺得
[01:13:37] 做product才是對
[01:13:39] 因為它可以規模化
[01:13:40] 做project客製化不能規模化
[01:13:42] 可是現在的企業開始倒過來
[01:13:44] 他說project的客製化
[01:13:47] 反而可以綁住大客戶
[01:13:48] 在這個時候錘子整合
[01:13:50] 你product化的話
[01:13:52] AI如果一個晚上寫出來扣
[01:13:54] 比你更強又免費了
[01:13:55] 那你的product突然間就沒價值
[01:13:57] 所以軟體要重新檢討
[01:13:59] 最重要它不能成為工具
[01:14:01] 如果它是工具
[01:14:02] 它就沒有品牌忠誠度了
[01:14:04] 因為它就是被AI使用而已
[01:14:06] 所以軟體是綁住客戶
[01:14:08] 服務客戶的信貸感最重要
[01:14:10] OK
[01:14:11] 就是那個軟體是那個特洛伊幕嗎
[01:14:13] 對
[01:14:13] 那個服務才是後面真正是工程
[01:14:16] 就是軟體是為了提供服務
[01:14:18] 為了贏得信貸感
[01:14:19] 或者讓客戶覺得說
[01:14:21] 他交給我就好了
[01:14:22] 但是如果你被他當成工具
[01:14:25] 他是客戶不用自己來操作
[01:14:27] 透過AI agent來操作
[01:14:29] 你就麻煩了
[01:14:29] 所以為什麼軟體公司的股價修正了
[01:14:32] 就是大多數的軟體
[01:14:34] 都只是工具軟體
[01:14:36] 那麼以前可能是人來操作
[01:14:38] 以後是AI來操作
[01:14:39] 他們說軟體的溢價
[01:14:41] 它的margin
[01:14:42] 它的那個premium就減少
[01:14:44] 是
[01:14:44] 那這邊還有一個朋友的問題
[01:14:46] 就是說
[01:14:47] 如果要成為那個百分之一
[01:14:48] 或者百分之幾的前工作者的話
[01:14:51] 或者企業
[01:14:52] 那你勢必要
[01:14:53] 用更多的AI工具
[01:14:56] 包含代理
[01:14:56] 那你也要授權給它
[01:14:58] 更大的這個範圍
[01:14:59] 讓它可以去運作
[01:15:00] 的同時就是說
[01:15:01] 其實也曝露在可能更高的
[01:15:04] 自然的風險裡頭
[01:15:05] 這兩者怎麼去取得平衡
[01:15:07] 好
[01:15:07] 我覺得臺灣
[01:15:08] 如果我們講說
[01:15:09] 用小龍蝦這種工具
[01:15:10] 我用概念一下
[01:15:11] 因為剛才提到
[01:15:12] 如果你現在的生意
[01:15:14] 都是島內生意
[01:15:15] 就是我們內需產業的話
[01:15:17] 我倒也不建議說
[01:15:18] 這個迫切性那麼高
[01:15:19] 反而你是把用AI
[01:15:21] 一般問問題的能力提高
[01:15:22] 就已經很不錯了
[01:15:24] 知道所謂的問用管道
[01:15:25] 剛才講的這個概念
[01:15:26] 你不一定要立刻走入
[01:15:28] 所謂的代理式的AI
[01:15:30] 但如果你做
[01:15:31] 全球性的服務
[01:15:33] 不管你是製造業採購互動
[01:15:35] 或者所謂的人家供應鏈
[01:15:37] 你不去做
[01:15:38] 別人就把你剃掉了
[01:15:40] 因為你不在
[01:15:40] 那個供應鏈裡頭
[01:15:41] 他就要特別特別小心
[01:15:43] 那所以我們再倒回來
[01:15:45] 還是從風險跟機會做平衡
[01:15:48] 假設它代理來
[01:15:50] 給你的短期機會沒那麼高
[01:15:51] 風險很大
[01:15:52] 比如說臺灣的本地銀行
[01:15:54] 立刻要不要推動代理
[01:15:55] 或許風險是個問題
[01:15:57] 可是我們今天
[01:15:58] 如果本地銀行
[01:15:59] 已經蠻國際化
[01:16:00] 它的對口是JP Morgan
[01:16:02] 你不去做AI代理
[01:16:04] 你可能就上市機會了
[01:16:05] 所以大家可以去平衡這兩個
[01:16:07] 是
[01:16:07] 好那我這邊再看到是說
[01:16:10] 可能時間的關係
[01:16:12] 我們只有最後一個
[01:16:13] 來自我們線上的問題
[01:16:14] 是
[01:16:15] 那這邊提到是說
[01:16:20] 臺灣很多都是製造業的技術
[01:16:23] 那如果說要用這個所謂的大語言模型的話
[01:16:27] 那這樣的話是不是資料也要提供去做訓練的同時
[01:16:32] 是不是也曝露在一些可能將來這個資料會流失的
[01:16:36] 我提供一下現在全世界成功的500大企業都是把資料丟到這個雲端裡頭去訓練嘛才會成功的
[01:16:43] 所以我忘了講說資料上雲不是問題
[01:16:46] 所以是你自己的資安能力的問題
[01:16:49] 因為現在大的雲端AI模型系統
[01:16:52] 他跟他大客戶之間都有一個私有云的概念
[01:16:56] 他可以在他的cloud裡頭架構一個privatecloud給你
[01:17:00] 甚至你的資料放在你的地端
[01:17:04] 你跑的時候才送上去
[01:17:06] 跑上去的時候已經變成向量化
[01:17:08] 已經被加密了
[01:17:10] 而那一端你在他的私有云裡頭跑
[01:17:13] 你要在用他的模型之前
[01:17:15] 你自己做一次解密的動作
[01:17:17] 所以雙向加解密
[01:17:19] 這大概不會有太大的問題
[01:17:22] 所以有人問我這個問題的時候
[01:17:24] 我大部分的想法就是臺灣還沒有開始用
[01:17:27] 因為你如果去問AI要怎麼辦
[01:17:31] 他會建議你企業可以這樣做
[01:17:33] 這個很像就是說如果想要自己有一片花園種菜
[01:17:38] 現在可能多數人家裡沒有這個條件
[01:17:40] 但你到陽明山去住一片地
[01:17:42] 對對對
[01:17:43] 旁邊圍起圍來
[01:17:44] 你這講得非常非常清楚
[01:17:45] 還是你的
[01:17:46] 對對對
[01:17:46] 好那我們非常謝謝
[01:17:48] 簡歷峰簡老師在我們這一次的論壇裡面分享的
[01:17:51] 那簡老師最近有兩本書
[01:17:53] 一本是AI臺灣大戰略
[01:17:54] 一本是出海
[01:17:55] 強烈建議大家是必讀
